000054,000000,Struct,recno:Integer,Seg_ID:Integer,AM_Fact:Float,MD_Fact:Float,PM_Fact:Float,Has_Min_Cost:Boolean,Min_Cost:Float,Alpha:Float,Beta:Float,Is_Doubly_Constrained:Boolean
1,36,0.0214,0.8678,0.1108,false,kb_nil,-0.7858761,-0.00870865,false
2,37,0.0588,0.7956,0.1456,false,kb_nil,-0.85638985,-0.0064847,false
3,38,0.1292,0.7302,0.1406,false,kb_nil,-1.52532648,-0.0045656,false
4,39,0.14,0.72,0.14,false,kb_nil,-0.05,-0.0002,false
5,40,0.15,0.7,0.15,false,kb_nil,-0.1,-0.0003,false
6,41,0.12,0.76,0.12,false,kb_nil,-0.05,-0.0002,false
7,42,0.03,0.84,0.13,false,kb_nil,-1.1,-0.001,false
8,43,0.05,0.89,0.06,false,kb_nil,-1.1,-0.001,false
9,44,0.14,0.75,0.11,true,50.0,-0.99,-0.0021,false
10,45,0.14,0.75,0.11,true,50.0,-1.1,-0.0005,false
11,46,0.1,0.8,0.1,true,100.0,-1.0,0.0,false
12,47,0.1085,0.7305,0.161,false,kb_nil,-1.25,-0.0035,false
13,48,0.076,0.81,0.114,false,kb_nil,-0.876774,-0.00759525,false
14,49,0.131,0.7895,0.0795,false,kb_nil,-2.169363,-0.0032376,false
15,50,0.021,0.874,0.105,false,kb_nil,-0.7858761,-0.00870865,false
16,51,0.1,0.8,0.1,false,kb_nil,-1.0,0.0,false
17,52,0.1,0.8,0.1,false,kb_nil,-1.0,0.0,false
18,53,0.04,0.88,0.08,false,kb_nil,0.0,0.0,false
19,54,0.02,0.88,0.1,false,kb_nil,-1.1,-0.001,false
20,1,0.1679,0.6354,0.1967,false,kb_nil,-1.4756418,-0.0020178,false
21,2,0.1679,0.6354,0.1967,false,kb_nil,-0.5980032,-0.0024921,false
22,3,0.1679,0.6354,0.1967,false,kb_nil,-0.6407127,-0.0028836,false
23,4,0.1679,0.6354,0.1967,false,kb_nil,-1.0844568,-0.0022707,false
24,5,0.3215,0.4731,0.2054,false,kb_nil,-1.2994702,-0.0020355,false
25,6,0.3215,0.4731,0.2054,false,kb_nil,-0.9033125,-0.00190365,false
26,7,0.3215,0.4731,0.2054,false,kb_nil,-1.16483129,-0.0016225,false
27,8,0.3215,0.4731,0.2054,false,kb_nil,-1.29006799,-0.00182782,false
28,9,0.4564,0.4699,0.0737,false,kb_nil,-2.04593,-0.010605,false
29,10,0.4564,0.4699,0.0737,false,kb_nil,0.429792,-0.014505,false
30,11,0.4564,0.4699,0.0737,false,kb_nil,1.334746,-0.016068,false
31,12,0.4564,0.4699,0.0737,false,kb_nil,4.823225,-0.033488,false
32,13,0.5146,0.4266,0.0588,false,kb_nil,2.3913554,-0.0131248,false
33,14,0.5146,0.4266,0.0588,false,kb_nil,0.2901612,-0.0059332,false
34,15,0.5146,0.4266,0.0588,false,kb_nil,0.8324981,-0.0071045,false
35,16,0.5146,0.4266,0.0588,false,kb_nil,0.3868382,-0.0057031,false
36,17,0.2134,0.6207,0.1659,false,kb_nil,3.0411436,-0.01153795,false
37,18,0.2134,0.6207,0.1659,false,kb_nil,2.2084704,-0.007776,false
38,19,0.2134,0.6207,0.1659,false,kb_nil,0.8302952,-0.0045942,false
39,20,0.2134,0.6207,0.1659,false,kb_nil,-0.074326,-0.002155,false
40,21,0.0738,0.7583,0.1679,false,kb_nil,-1.3386837,-0.00527085,false
41,22,0.0738,0.7583,0.1679,false,kb_nil,-0.784482,-0.00679575,false
42,23,0.0738,0.7583,0.1679,false,kb_nil,-2.81269675,-0.00091545,false
43,24,0.0738,0.7583,0.1679,false,kb_nil,-2.73931625,-0.0004607,false
44,25,0.0695,0.7489,0.1816,false,kb_nil,-1.3299389,-0.0034595,false
45,26,0.0695,0.7489,0.1816,false,kb_nil,-1.06465985,-0.0035734,false
46,27,0.0695,0.7489,0.1816,false,kb_nil,-2.1608853,-0.00099195,false
47,28,0.0695,0.7489,0.1816,false,kb_nil,-1.81758985,-0.0014195,false
48,29,0.2537,0.5878,0.1585,false,kb_nil,-2.3660643,-0.00644875,false
49,30,0.2537,0.5878,0.1585,false,kb_nil,-2.055186,-0.0090312,false
50,31,0.2537,0.5878,0.1585,false,kb_nil,-1.8052317,-0.0108702,false
51,32,0.2537,0.5878,0.1585,false,kb_nil,-1.6911039,-0.0098868,false
52,33,0.0942,0.8146,0.0912,false,kb_nil,-1.6075444,-0.00234935,false
53,34,0.063,0.7944,0.1426,false,kb_nil,-1.775018,-0.0034599,false
54,35,0.1784,0.6497,0.1719,false,kb_nil,-0.84013725,-0.0028538,false
